0,1,6,3,7,2,5,4,9,8
Les Misérables,Hamilton,West Side Story,Wicked,The Book of Mormon,Sweeney Todd: The Demon Barber of Fleet Street,The Sound of Music,A Chorus Line,Jesus Christ Superstar,Mary Poppins
The Phantom of the Opera,1776,Chicago,Into the Woods,Evita,Dear Evan Hansen,Fiddler on the Roof,Singin' in the Rain,Joseph and the Amazing Technicolor Dreamcoat,Kinky Boots
The Lion King,Starlight Express,Rent,Little Shop of Horrors,Pippin,My Fair Lady,Annie,Dreamgirls,Godspell,Next to Normal
Camelot,pajama game,Hairspray,Beauty and the Beast,The Producers,"Hello, Dolly!",Matilda,Jersey Boys,Tarzan of the Apes,Waitress
Man of La Mancha,Parade,Cabaret,Cats,How to Succeed in Business Without Really Trying,Oliver!,Spring Awakening,School of Rock - the Musical,Children of Eden,Ragtime
La Cage aux Folles,Fiorello!,Grease,Cinderella,Come from Away,Carousel,In the Heights,Once,,Company
Anastasia,,Newsies,Peter Pan,Urinetown,The Secret Garden,The King and I,Beautiful: the Carole King Musical,,Funny Girl
Porgy and Bess,,The Music Man,Spamalot,Sunset Boulevard,Brigadoon,Mamma Mia!,Bandstand,,Billy Elliot the Musical
A Funny Thing Happened on the Way to the Forum,,Avenue Q,The Little Mermaid,Chitty Chitty Bang Bang,Big River,oklahoma,Fame,,Sunday in the Park with George
Chess,,Guys and Dolls,Aladdin,The 25th Annual Putnam County Spelling Bee,Beetlejuice,South Pacific,Ain't Misbehavin',,Finding Neverland
A Gentleman's Guide to Love and Murder,,Anything Goes,The Wiz,The Pirates of Penzance,Shenandoah,The Color Purple,Fosse,,American Idiot
Jekyll and Hyde,,Miss Saigon,Once Upon a Mattress,Damn Yankees,,The addams family,Oh! Calcutta!,,The Who's Tommy
Candide,,Gypsy: A Musical Fable,A Christmas Carol,Sweet Charity,,Hedwig and the Angry Inch,,,Fun Home
Aida,,Hair,Frozen,The Best Little Whorehouse in Texas,,Follies,,,Catch Me If You Can
The Scarlet Pimpernel,,Something Rotten,Shrek the Musical,Rock of Ages,,A Little Night Music,,,Seven Brides for Seven Brothers
Kismet,,Heathers,Tuck Everlasting,The Band's Visit,,The Fantasticks,,,Sister Act
,,Falsettos,Dr. Seuss' How the Grinch Stole Christmas!,Flower Drum Song,,Mame,,,The Full Monty
,,Annie Get Your Gun,Honk!,Titanic,,She Loves Me,,,Grey Gardens
,,Bye Bye Birdie,Suessical the Musical,Side Show,,Natasha Pierre and the Great Comet of 1812,,,A New Brain
,,The Rocky Horror Show,Twisted,Can-Can,,The Light in the Piazza,,,Movin' Out
,,Thoroughly Modern Millie,,Bells Are Ringing,,Passion,,,Blood Brothers
,,Legally Blonde,,Dogfight,,Kiss of the Spider Woman,,,Raisin
,,Show Boat,,Coco,,Nine,,,"Promises, Promises"
,,42nd Street,,Ballroom,,Gigi,,,Baby
,,"You're a Good Man, Charlie Brown",,,,Xanadu,,,Do Re Mi
,,Victor/Victoria,,,,"Natasha, Pierre, and the Great Comet of 1812",,,Redhead
,,Assassins,,,,Carnival!,,,Passing Strange
,,"Kiss Me, Kate",,,,,,,New girl in town
,,The Drowsy Chaperone,,,,,,,Big Deal
,,On the Town,,,,,,,
,,Be More Chill,,,,,,,
,,Bonnie & Clyde,,,,,,,
,,Crazy for You,,,,,,,
,,Memphis,,,,,,,
,,Pal Joey,,,,,,,
,,Wonderful Town,,,,,,,
,,High School Musical on Stage!,,,,,,,
,,City of Angels,,,,,,,
,,Curtains,,,,,,,
,,Applause,,,,,,,
,,War Paint,,,,,,,
,,Dirty Rotten Scoundrels,,,,,,,
,,The Magic Show,,,,,,,
,,Grind,,,,,,,
