,musical
1,Hamilton
2,Les Misérables
3,Wicked
4,The Phantom of the Opera
5,Chicago
6,The Lion King
7,The Sound of Music
8,Newsies
9,Dear Evan Hansen
10,Into the Woods
11,West Side Story
12,The Book of Mormon
13,Rent
14,Hairspray
15,Mary Poppins
16,In the Heights
17,Beauty and the Beast
18,Singin' in the Rain
19,My Fair Lady
20,Little Shop of Horrors
21,A Chorus Line
22,Fiddler on the Roof
23,Sweeney Todd: The Demon Barber of Fleet Street
24,The Music Man
25,Waitress
26,Grease
27,Cabaret
28,Mamma Mia!
29,Miss Saigon
30,Jesus Christ Superstar
31,Heathers
32,Evita
33,Guys and Dolls
34,Annie
35,Matilda
36,Legally Blonde
37,The Producers
38,Spring Awakening
39,Avenue Q
40,The King and I
41,"Hello, Dolly!"
42,Kinky Boots
43,Anything Goes
44,oklahoma
45,Oliver!
46,Joseph and the Amazing Technicolor Dreamcoat
47,Something Rotten
48,Funny Girl
49,Come from Away
50,Gypsy: A Musical Fable
51,The Little Mermaid
52,Cinderella
53,South Pacific
54,The Rocky Horror Show
55,Jersey Boys
56,Next to Normal
57,Camelot
58,Company
59,Dreamgirls
60,Falsettos
61,Pippin
62,Carousel
63,Peter Pan
64,Spamalot
65,Annie Get Your Gun
66,Ragtime
67,Aladdin
68,Thoroughly Modern Millie
69,Cats
70,Man of La Mancha
71,School of Rock - the Musical
72,The addams family
73,Billy Elliot the Musical
74,"You're a Good Man, Charlie Brown"
75,Hair
76,Anastasia
77,Sunday in the Park with George
78,The Color Purple
79,How to Succeed in Business Without Really Trying
80,"Kiss Me, Kate"
81,42nd Street
82,Finding Neverland
83,Show Boat
84,A Funny Thing Happened on the Way to the Forum
85,Bye Bye Birdie
86,1776
87,Once
88,Be More Chill
89,Beetlejuice
90,A Little Night Music
91,The 25th Annual Putnam County Spelling Bee
92,Porgy and Bess
93,Godspell
94,Jekyll and Hyde
95,The Secret Garden
96,Beautiful: the Carole King Musical
97,Shrek the Musical
98,Sister Act
99,Chitty Chitty Bang Bang
100,Damn Yankees
101,The Wiz
102,The Pirates of Penzance
103,La Cage aux Folles
104,Chess
105,Sunset Boulevard
106,Victor/Victoria
107,Fun Home
108,Brigadoon
109,Frozen
110,Hedwig and the Angry Inch
111,Aida
112,Seven Brides for Seven Brothers
113,Follies
114,A Gentleman's Guide to Love and Murder
115,Sweet Charity
116,Mame
117,The Drowsy Chaperone
118,A Christmas Carol
119,Natasha Pierre and the Great Comet of 1812
120,Catch Me If You Can
121,The Fantasticks
122,Assassins
123,On the Town
124,Bonnie & Clyde
125,The Who's Tommy
126,Urinetown
127,Bandstand
128,The Band's Visit
129,Mean Girls
130,Once Upon a Mattress
131,Gigi
132,Suessical the Musical
133,American Idiot
134,She Loves Me
135,"Natasha, Pierre, and the Great Comet of 1812"
136,Fame
137,pajama game
138,Dirty Rotten Scoundrels
139,The Light in the Piazza
140,Crazy for You
141,Tuck Everlasting
142,Titanic
143,Xanadu
144,Fosse
145,Candide
146,Parade
147,"Promises, Promises"
148,Ain't Misbehavin'
149,The Full Monty
150,The Best Little Whorehouse in Texas
151,Rock of Ages
152,City of Angels
153,Big River
154,Flower Drum Song
155,Dogfight
156,Shenandoah
157,The Scarlet Pimpernel
158,Can-Can
159,Memphis
160,Runaways
161,Twisted
162,Kismet
163,Kiss of the Spider Woman
164,Martin Guerre
165,High School Musical on Stage!
166,Children of Eden
167,Carnival!
168,Curtains
169,Wonderful Town
170,Blood Brothers
171,Passion
172,Dr. Seuss' How the Grinch Stole Christmas!
173,Fiorello!
174,Side Show
175,Tarzan of the Apes
176,Grey Gardens
177,A New Brain
178,Movin' Out
179,Bells Are Ringing
180,Honk!
181,War Paint
182,Oh! Calcutta!
183,Purlie
184,Applause
185,Pacific Overtures
186,Cyrano
187,Coco
188,Baby
189,Do Re Mi
190,Passing Strange
191,Whistle Down the Wind
192,The Beautiful Game
193,Big Deal
194,Redhead
195,Ballroom
196,New girl in town
197,Grind
