musical,synopsis
lesmiserables,"The musical takes place at the beginning of the XIX century. After 19 years of penal servitude, Jean Valjean is released by policeman Javert. He was arrested for theft of bread for his family. Every month he has to report to the lawyer. Jean isn't hired and despised. Once, he was sheltered by the archbishop. He treated him as brother. Jean Valjean, who still doesn't believe in love, steals all silver in the house and runs. In the morning, he is brought to the archbishop. The man is beat to semi-death. According to policemen, the man has told them that silver was presented him by the archbishop. He agrees with it and gives Jean two silver candlesticks, which Jean stores to his death. The man is so touched by care that he tears all his documents and begins new life. Jean Valjean sells all silver and becomes the mayor 8 years later. He is also an owner of the factory. Poor girl Fantine works on it.  Fantine is exposed to harassment of the foreman and contempt of colleagues. She has a secret. A few years ago, the man has deceived her and has left. She became pregnant and has given birth to the daughter. The girl, Kozetta, grows at the innkeeper and his wife's family. They have their own daughter too. They cruelly manage with the girl. At the same time, the family writes to her mother and swears that she is often ill. Fantine sends them a lot of money and thinks that she rescues the daughter. Soon her secret is revealed by other workers. The mayor asks the foreman to resolve the conflict. Fantine is dismissed. Despaired woman sells her hair and teeth. She hopes to rescue her ""ill"" daughter. Then she becomes a prostitute.  One night, when the client comes to her, she refuses to work. The man offends her and Fantine hits him. At this moment police officers appear, including Javert. Jean Valjean rescues Fantine from prison and carries in hospital. The woman asks him to take care of the daughter and dies. Javert understands that the mayor is Jean, and wants to put him in prison as he looked for fugitive for many years. Jean is escaped. At this time, Kozetta is sent to winter forest for water, where she is found by Valjean. He redeems the girl from innkeepers and asks the church gardener for a shelter for her. The girl lives in the monastery.  Times of June revolt. In the center of a plot are the students who have started revolution. Little Gavroche, the son of impoverished innkeepers, helps them. Marius, one of the associates, notices Kozetta on the street and falls in love with her. The girl reciprocates the young man. By means of Eponine, who is also in love with Marius, he finds the house where lives Kozetta. They start to date in secret from everyone.  Jeanne Valjean and Kozetta are forced to run because of Javert arrival. Gavroche brings them a note from barricades. To rescue Kozetta's beloved, the man goes to the heat of revolt. Just at this moment, students detain Javert. They allow Jean Valjean to kill him. He agrees, and doesn't kill Javert, but releases him on freedom.  At this time on barricades, slaughter is started again. Gavroche and Eponina are killed during fight. When fight is resumed, everyone is in mourning. This time law enforcement authorities try to kill everyone. Jean Valjean rescues wounded Marius. During this he meets the innkeeper on the road (he has stolen a family ring from Marius). Valjean and half-dead Marius are awaited by Javert. He claims that he will arrest the man for all crimes, which Jean has made. However, he doesn't decide to shoot at the person, who has saved his life recently. The guard is exposed to remorse and commits suicide.  Marius recovers. He gets married with Kozetta. Jean Valjean tells the guy his story and departs to the monastery to die. The innkeeper and his wife come to a wedding and tell Marius scurrilous things about Jean Valjean. They don't understand that they speak about the one who has rescued him. Marius and Kozetta run to the monastery, finding the last minutes of Jean's life. When he dies, he is met by Fantine, the archbishop and all dead on barricades. The last song sounds."
thephantomoftheopera,"At the beginning of the XX century in the Paris Opera House was selling of old props. The most mysterious lot was broken chandelier. With its fall relates the story of the mysterious Phantom, who many years ago was the music patron of this place. Chandelier again rose to the ceiling of the theater & time turned back. It was 1881. In the hall was rehearsed the evening performance. Appeared Phantom so angered diva Carlotta that she categorically refused to act. New theater owners replaced the lead actress. The young chorus girl Christine knew a whole party of diva. She perfectly performed in the evening & very surprised new owners.  After a triumphant debut of Christine, she told her friend about the mysterious music angel, who taught her singing. Soon, to her came a new sponsor of the theater Viscount & recognized a girl – in a childhood, they often played together. A girl told to a young man her deceased father’s telling, which included such music angel. A girl also admitted that this mysterious patron taught her singing. Laughed at her imagination, he invited her to dine. When the young man left the dressing room, in the mirror appeared Phantom. He took her into the mysterious world, which was located deep underground. Teaching his protégé singing, the patron brought the girl to his home & when she fainted, he gently laid her down on his bed. Waking up, she went to an angel & took off his mask to see the true face of her patron.  Soon theater owners received a note from the Phantom. He demanded that the main role in the new opera performed Christine. Otherwise, the theater would suffer a terrible disaster. Owners calmed down furious diva, assuring her in her irreplaceability. During her performance, Phantom made so that the singer lost her voice. Trying to save the play, owners let the ballet on the stage. But then the audience saw the corpse under the ceiling, hanging on a rope & heard a sinister laugh of Phantom. Using the general turmoil, Christine took Mr. Chagny to the roof of the theater, where they explained to each other in love. Overhearing their conversation, Phantom has vowed to avenge to them two.  After 6 months, Phantom visited Masquerade. He brought the owners a new musical creation & demanded a main part for Christine. Mrs. Giry told to viscount a story of Phantom. He was originally born with a disfigured face, the boy grew up in a mobile waxworks. When he managed to escape from there, the teenager found refuge in the theater. There he realized that his calling is to compose music. Viscount decided to catch the Phantom. Christine was choosing between her beloved & teacher. Visiting her father’s grave, the girl almost fell under the spell of Phantom, but she was rescued by viscount. During the premiere, Christine realized that her partner should be Phantom. When she tore off his mask, the audience saw the mutilated face of a man & he kidnapped a girl from the stage.  Viscount was in search of his beloved, when Mrs. Giry showed a way to the dungeon, where Christine was forced to wear a wedding dress. Phantom soon caught the Viscount, who found a way to Phantom’s habitat. A man said that would let go Viscount, if only a girl stays with him. Otherwise her lover would die. Realizing feelings of Phantom, Christine kissed him. Having experienced the first time in life someone else's compassion, Phantom was shocked. He told the girl that he loves her, but she forced herself to turn away from her mentor. Christine & Viscount left. Closed by pallium, Phantom started to cry. Soon, in his lair broke angry mob. But under the pallium, people only found mask of a men – Phantom disappeared."
hamilton,"Can we call a thing more boring than the history? Everyone can remember the long hours spent on the school bench under monotonic and gray monologue of teacher, reading paragraph by paragraph, to enter steadily and firmly in the young stupid heads the chronology from the beginning of times until today. But sometimes there is nothing more fascinating than the history. At all the pages of books, written by bored pundits, contain no drop of inspiration, not a grain of creativity. Musical «Hamilton», created by Lin-Manuel Miranda, is an outstanding example, of how the history should be revealed.  Miranda spent six long years of hard and tireless work on his own brainchild, being inspired by the biography of his native country and its founding fathers, especially the notorious Alexander Hamilton. The plot plunges us into the story of the life of one of the great politicians, says about his childhood, the years of a long and hard studying, and finally, about his formation as a political figure, skillfully touching the threads of fate of great state, during the fight for its independence. The story takes us to the atmosphere of the time, and every detail is thought out so that the film captivates us entirely. This musical is as close to modern musical trends as possible: its motifs include smooth melodies of romantic and lyrical works, and after, the ricochet of hip-hop beats on our hearing. Seemingly boring talks about finances and war, usually prompting boredom on the viewer, now transformed into real musical battles, under hip-hop.  Alexander Hamilton lived before in the minds of only a dry summaries of the handbooks about the history. And his face is on a ten-bill. Now he comes to life and is presented to the audience on the stage as simple, perfectly ordinary mortal person, capable of making mistakes, looking for ways to retreat and solutions, in love or naive, strict or cruel politician – this all matters. He is alive. This story takes us in his journey from the very beginning, proving that we are all humans, no matter how great we were. It captivates and attracts. So much, that tickets on this presentation fly out with incredible speed, and many famous people of our time (for example, President Barack Obama and lots of movie stars) considered it as their duty to attend the musical. And more than once!"
westsidestory,"The two gangs – Jets, consisting of white & Sharks, including the Puerto Ricans – fought for control in West Side district. The leader of the first ones decided on the next dance to challenge Bernardo, the leader of the second. Riff called for challenge the gang’s member who grew up & now was working at a pharmacy, Tony. At first, he refused, but then he allowed himself to be persuaded. The newly arrived Maria worked in the store along with Anita, the girlfriend of his brother Bernardo, Sharks’ leader. A girl was supposed to marry Chino, but she did not feel any senses to him. Anita helped her prepare the dress for dancing. During the party, Jets’ & Sharks’ representatives started struggled in the dance. Seeing each other, Tony & Maria stopped noticing others. Soon they began to dance. Then brother sent her home. Bernardo & Riff agreed to hold a meeting on neutral territory. Tony fell in love with Maria at a first sight. He came to her house & started singing serenades under her window. When a girl came out onto the fire escape, the young people explained each other in their feelings.  During the meeting, participants of bands confirmed – only fists are allowed during the battle. Bernardo was thinking that he would have to fight Tony, but Riff stood against him his the second fighter. Maria found out in the morning from Anita about the upcoming fight. She asked Tony to stop the planned clash. The young man promised to do everything he could. The boy & the girl began to dream about the wedding. During the fight, Tony tried to convince Bernardo to stop the fight. But in response, he heard nothing but ridicule. When the Sharks leader pushed him, Riff hit Bernardo. Tony tried to stop a broke out fight. By chance, he caused the death of his friend from Bernardo’s knife. In anger, the boy killed the leader of Sharks. When there was the sound of police sirens, shocked Tony realized that now on his hands was the blood of Maria’s brother. He was hardly persuaded to flee from the crime scene.  Maria was is ignorance thinking about her beloved. When Chino came home & told about Bernardo’s death by Tony’s hand, woman did not believe him. But then her beloved confirmed this to Maria. Puerto Rican girl could not start to hate him, because her love was stronger than family ties. Young people have agreed on a joint flee. Soon members of the Jets gang learned that armed with a gun Chino is looking for Tony. They also began to search for their friend. When upset Anita came to killed Bernardo’s house, she saw a young man leaving from Maria. Angry at first, she then realized that their feelings were stronger than death. Anita told her friend about Chino & his gun. She later agreed to send a message to Tony.  When a girl went to look for the young man, she was attacked by Jets. They were stopped by the pharmacy owner. Angry Anita deceived members of the gang, saying that Chino has shot Maria dead. The pharmacist told Tony about her words, who dreamed of a peaceful & happy life with his beloved. The young man went to Chino, so he shot him too. At the last moment, the young man was able to see alive Maria. Beloved died at the hands of a girl. Members of both bands decided to figure out their relationship over Tony's body. Taking the gun, Maria said she would shoot any of them, because they were guilty of all the deaths occurred. But she did not have the guts to do it. Teenagers from both bands came to the body of Tony & helped Maria carry him. Their feud ended."
wicked,"Good Witch Glinda of Oz country reported that the Wicked Witch Elphaba is dead. They used to be friends, and the memories of their life story in Shiz University started.  Elphaba from the very childhood was a rogue child, being born with green skin color, as her mother had used the green elixir. She also had a sister Nessarose in a wheelchair. When the two sisters came to Shiz, the local bosses took custody over Nessarose. Despite the sociable character of Elphaba, the green color of her skin did not allow her to make friends. Gradually, she became friends with her roommate, Glinda. She desperately desired to meet the Wizard of Oz, who allegedly was able to make her look like of a usual person.  Elphaba had feelings for her classmate Fiyero, even though deep down, she knew that she would never be his chosen one. He replied sympathetically, although he also liked Glinda. But their sympathy had no development – Elphaba was sent to the Emerald City to meet the Wizard. Dreams of help with skin color were not justified at girl – the magician used sorcerer girl's abilities to take credit for her miracles. Elphaba in despair stole an ancient magical book, and ran away being dubbed for that the Wicked Witch and it was declared her hunt down. Using magical powers, the sorcerer managed to escape.  As time passed, Fiyero became a captain of the guard and announced the engagement to Glinda, which was now known as the Good Witch. A guy named Bog was also secretly in love with Glinda, though he was loved by Nessarose, who became governor after the death of her father. When Bog decided to confess Glinda his feelings, jealous Nessa has imposed on him inept spell, wishing to deprive the senses to rival. Bog’s heart began to melt, and in order to save him, Elphaba turned him into the Tin Woodman.  Elphaba reconciled with the Wizard. Fiyero felt again the old feelings to Elphaba, and both of them confessed feelings to each other. Meanwhile, a tornado took Dorothy’s house with her dog Toto, and Elphaba sensed trouble: a house fell on her sister Nessarose and the latter died. It turns out that this curse was designed specifically to lure the evil sorceress out and to deal with her. Nothing was left except of mourn the dead sister and conduct Dorothy and Toto in the way to Wizard of Oz.  Guards found Elphaba, but when they tried to arrest her, Fiyero gave her a chance to escape, and he surrendered. As a result, the guardians tied Fiyero to the pole and carried him to the field to where Elphaba was. To save her beloved, she turned him into a scarecrow Scarecrow, who did not feel any pain.  Elphaba invented to die theatrically in the guise of the Wicked Witch. She asked her friend Glinda not to do anything to restore her good name. Because otherwise, all the people shall be against Glinda. Friends parted forever, and Elphaba gave previously stolen magical book back and promised never again to make good magic, as only misfortune happened to her because of it. They retired with her beloved Fiyero and left in a secret that Elphaba has survived."
chicago,"Two girls of dazzling appearance, each of which was the star of the scenes of various sizes, are found in the same block in prison, where they were jailed for murder that they have done. One of them, a luxurious curvaceous blonde named Roxie, killed her lover – the club frequenter, whom she has despite the presence of her husband – hard laborer that used to work 14 hours a day to ensure his dazzling wife had all she needed. The second, brunette of great importance, star of vaudevilles named Velma, killed her husband and sister, catching them in bed together.  Events take place in Chicago during Prohibition of 1920, so elegant evening dress and men's suits are in fashion, white scarves and dazzling hairstyles.  Prioress of the prison, powerful dark-skinned patron decides to make Velma star again so that in the future, she was useful for her and looks lawyer named Billy Flynn, who did not lose a single such case yet, whom all the prisoners want to receive as a defensive attorney-in-law. But luck is a blue bird and flies not to all. Billie agrees to protect Velma, they build the line of defense and prepare for court. At this time, Roxie gradually moving closer to Velma and her lawyer, she receives the latter also, persuaded to pay her husband-bungler USD 5,000 for her defense. Last initially took the blame for the murder on him, but then, realizing that she shot not ""a robber"", as she told him, but a lover, he refused to accept the blame (""Funny Honey""). But being still in love, he gets the required money and pays the lawyer, so Billie began to defend Roxie.  In the course of the story, Roxie steals all the tricks, used by Velma for the journalists and becomes the star of the press, even inventing that she was pregnant. Her husband confirmed the pregnancy, sincerely believing it. Thanks to this, Velma gradually comes to wane when Roxie overshadows her and make herself the star number one in this prison. As she was a proud personality, she even forgets herself once and in a heat of anger fires her lawyer, quarreling with him. But she had been sobering pretty quickly when she sees one of the prisoners of her block was executed.  At the trial, she does a demonstration play, emphasizing the fact that she is pregnant (""Me and My Baby"") and saying that committed murder in the heat of passion, defending herself from an attacker, afraid not only for her life, but for baby’s. Turning everything brilliantly, her lawyer arranges Roxie acquitted. Afterwards, almost forgotten Velma gets liberation too, but it is not advertised the same as Roxie’s. We meet Velma some time later, when she is not a star anymore, having no regular job, and she even has torn stockings and shawl became shabby. Roxie's husband left her when he found out that there was no child. Roxie and Velma do a new vaudeville show together."
rent,"The young director Mark lived with his neighbor Roger in the attic. He filmed the surrounding reality, deciding to make the documentary motion picture at this basis. Infected with AIDS composer was trying to write his best song. Soon, in the attic there was a call from their old friend Collins. Their conversation was interrupted in the middle. The next called the owner of the attic Benny. He demanded rent from tenants, although there was no request for that upon arrival. Soon, Mark received a message from former girlfriend Maureen. She asked him to help to support her protest against the demolition of the tent camp in a sandlot. Mark agreed to join.  Roger met his neighbor Mimi, who tried to start a romantic relationship with him. Musician refused to do it, since she was a drug addict. Soon, to the young people came Collins with his savior – robbed man was found in the street by transgender Angel. He not only bound up his wounds, but also bought some new clothes for him. Upon learning that they are united by AIDS, men decided to start dating. Soon Benny came at the attic. The man said that if young people would be able to stop Maureen’s activities, he would not require a rent from them. Mark decided not to let the girl down. Soon, the director went to a meeting on the AIDS topic, to shoot it on camera for his film.  During the protests, Mark met a lesbian Joanne, in the sake of whom Maureen left him. They found a common tongue when discussing friend’s disadvantages. Roger saw Mimi there. Apologizing for his behavior, the musician invited her to dine. Benny tried to pretend that the community of free artists does not exist, but the performance of the man was interrupted by Mark and his friends. They proved the reality of Bohemia and its inhabitants. Seeing his former girlfriend, Benny enraged. But she said that she is no longer afraid of his threats – she was contaminated with AIDS. After that, Roger has agreed to start meeting with Mimi.  The inhabitants of Bohemia began riot when Benny locked the building up. Collins and Angel brought gas-burner to get inside. The owner offered to young people the keys to the attic, but they refused – his behavior was way too suspicious. Angered, Benny said that Mimi slept with him for the sake of this aid. A girl denied everything, but Roger did not believe her. Frustrated, she left for the drugs. The relationship between Mimi and Roger became strained. The same happened with Joanne and Maureen. Only Collins and Angel were happy together, but soon they were separated by the death of a transgender person.  After the funeral, Roger went to Santa Fé. He has written there his best song. The musician went back in New York. Mark has completed his documentary film. No one knew where Mimi lived at the moment. Soon homeless girl was brought by Joanne and Maureen – she was seriously ill. Already dying, Mimi heard the song of Roger. Suddenly, the girl woke up and told that on the way to the white light, she met Angel, who asked her to come back. Love was stronger than death."
thelionking,"The show that we see here begins with the tolerant and clever Lion King of the Pridelands, Mufasa, and his lady-monarch Sarabi acquainting their baby boy, Simba to the creatures of the savannah. Mufasa has a brother, Scar (who previously was named as Prince Taka and he is a next-to-the-throne person in the kingdom). Each of the habitants of the jungle looks as if welcomes the offspring, only Mufasa's malefic sibling, Scar, surreptitiously aspire to become a monarch and show this with his outward appearance. Along with his beastly collaborators, the hyenas, Scar organizes a panic run that lead to assassination of Mufasa. Simba, concluding that he caused the cessation of his dad, quietly departs the Pridelands and leaves to nowhere.  Assuming that Simba was gone (also died, perhaps), Scar transforms into a mogul of the territory. Under his guidance, the Pridelands metamorphose into barren lands. By occasion of a fortunate luck, Simba runs onto his ancient associate Pumbaa in the bushes. She tells him of the terrors of Scar's governing and beseeches Simba to come back to the Pridelands. When Simba reverts, he ends up by murdering Scar and restores his thrown to the delight of each the creature of him new kingdom."
thebookofmormon,"The two missionaries are shown. One of them is the mega-responsible person, worried about the new believers and is slightly arrogant. The second, though, completely devoted to his work, but is a hopeless nerd and very big liar who does not want to adhere sticky to conversational scripts. Some time after they were formed in the pair by their mentor and sent to Uganda where upon arrival they were immediately robbed by the local military junta. The local ruler is a terrible despot, a collection of all the sins of Mankind in one bottle, due to which the population of the country is mired in poverty and horrible unsanitary conditions, including AIDS.  The local population does not believe in the Christian God, and even constantly sings very blasphemous song. The missionaries are already experiencing some frustration, and they were being taken to a place of residence, where another few people live, their comrades who did not succeed to convert locals in their faith. One of the newcomers is trying to start proselytizing, but locals find him arrogant, and his faith as meaningless. In the meantime, the local kinglet comes to village and arranges outrage by executing one of the villagers on the spot. The second of the newcomers decided to proselytize people in his own way and very happy when one of the locals listens to him.  It is interesting that this preacher has never actually read the Book of Mormons. Therefore, in order to draw the public into believing, he invents stories, lively and interesting, which are seasoned with his personal charm and ability to tell interestingly. He includes folklore in his stories, certain general provisions of the Mormon faith, the Hobbits, Star Wars, as well as some information about his father. Locals accept such living histories quite vividly.  His second mate, experienced failure to work with the people of Uganda, throws his partner and wants to go Orlando. During the packing-up, he has nightmares, partly because he feels remorse because he had abandoned him, losing faith in the success. He wants to re-establish himself in Uganda, but the former partner does not want to accept him. In addition, the second has a success – 10 people have turned to the new faith.  The Mission leaders come to them and congratulate with the successes, calling them one of the most outstanding figures in Africa in terms of acquisition new believers. But after the leadership recognizes that they are not taught the natives their faith, but some nonsense, they stopped their mission and imposed anathema on them. Nonetheless, both continued to live together with locals and preach to them the good and understanding, thereby engendered new faith."
sweeneytoddthedemonbarberoffleetstreet,"Simple Londoners are burying bag with the corpse, saying about the deceased Sweeney Todd, as of a demonic barber from Fleet Street. They remember terrible things of him. A ghost of barber appears and the story is transferred in the middle of the XIX century.  The young sailor arrives in London with a friend, whom he had rescued on the high seas. The friend’s name is Sweeney Todd. Seaman is glad to see native streets, but for Sweeney it is difficult to see the city where he once was happy. The situation is aggravated by beggar, offering services of a prostitute. They drive her away. Todd tells the tale of a ruined life of a certain barber, who had a wife and daughter, and then his family has been taken away. The judge on false charges exiled barber to Australia and owned his wife with cheating.  After parting with a sailor, Sweeney arrives at the Fleet Street in a small bakery. The hostess is pleased to see anyone – her establishment almost has no attendance, business is unprofitable. Sweeney offers her a joint business, if she would give him a room. A woman is surprised – all bypass her house: once there lived a barber, he was convicted on false charges, his wife was seduced by the judge, and she poisoned herself with arsenic from grief. Daughter Johanna became a student of the person who has arranged this mayhem. When he learned that his wife had died, Todd recognized to the hostess, that he is the same barber, and therefore wants revenge. Hostess agrees to this retribution.  To attract customers to his business, Sweeney is involved in street barbers competition and win it. Now many people, including a judge himself, wish to visit a first-class master. A Sweeney wants to handle with the judge and his assistants, braking down, ending their lives and hiding the bodies. Learning his plans, the owner conceives to use human flesh as the filling for her pies. So it would be possible to hide the crime and at the same time to rescue unprofitable bakery.  Johanna has grew up and turned into a beautiful girl. The judge planned to marry her. But her heart already belongs to someone else – she met a sailor who saved a hairdresser in the sea.  Finally, the judge comes to the barbershop and the Sweeney prepares to retribution. But his friend-sailor spoils his idea. He runs in and announces that he loves Johanna. Angry judge says that he’ll hide his ward, where no one would find her. And hastily leaves the barber shop without shaving. Todd says that from now on anyone who gets in his institution will be killed even if he did not deserve to die.  Business of bakery begins to flourish. Customers praise the meat pies, unaware of what they were prepared. Sweeney equipped his hairdresser's chair in a way, so that the body is delivered straight to the basement adjacent to the kitchen, for butchery. And there a hostess processes the flesh through a meat grinder, preparing pies. And only a beggar-prostitute say of diabolical smoke emanating from the institution, and the evil witch. But nobody listens to her.  The judge concludes his ward Johanna in the clinic, but an undercover sailor manages to infiltrate there and to rescue his beloved. They run away from the hospital and hid in a bakery on Fleet Street. Soon there comes the judge. In order to prevent beggar to interfere with her crazy speeches, Todd kills her. Only in the last minutes of his shaving, judge understands who the barber is, but it is too late for him.  While the hostess intends to burn the corpse of a beggar, Sweeney recognizes his wife in this ragamuffin: she managed to survive after the arsenic, but lost her mind completely. With grief, Todd throws in the oven the bakery owner and laments his wife. A sailor appears, only now realizing what kind of horrors were taking place here. He kills barber with his own razor, ending this bloody mess."
